id,title,longitude,latitude,datetaken,dateupload,tags,url_s,license,ownername
4190207403,"View in Sanitary Fair, Metropolitan Fair, New York City",-74.007118,40.714550,1863-01-01 00:00:00,1260989711,civilwar mathewbrady usnationalarchives nara:arcid=526133,https://live.staticflickr.com/4011/4190207403_3bb608054d_m.jpg,7,U.S. National Archives
4190963440,"View of Richmond, Virginia",-77.435159,37.539813,1863-01-01 00:00:00,1260989590,civilwar mathewbrady usnationalarchives nara:arcid=526137,https://live.staticflickr.com/2514/4190963440_a6a9bd5eae_m.jpg,7,U.S. National Archives
4190962852,"Wagon Train Loaded at a Landing. Belle Plain, Virginia",-77.359027,38.516340,1863-01-01 00:00:00,1260989576,civilwar mathewbrady usnationalarchives nara:arcid=526093,https://live.staticflickr.com/2739/4190962852_2cdd5b41fb_m.jpg,7,U.S. National Archives
4190186455,"Photograph of General Thomas J. ""Stonewall"" Jackson",-80.475111,39.098494,1863-01-01 00:00:00,1260989134,civilwar antietam mathewbrady jacksonsmill confederatestatesarmy clarksburgwestvirginia firstbattleofbullrun thomasjonathanjackson usnationalarchives nara:arcid=526067 stonewalljacksonmemorialcemetery,https://live.staticflickr.com/2495/4190186455_b4a2a3c3c3_m.jpg,7,U.S. National Archives
4190935100,General George A. Custer,-107.432534,45.570763,1863-01-01 00:00:00,1260988773,usnationalarchives civilwar mathewbrady nara:arcid=526081 generalgeorgeacuster custer colonelgeorgeacuster 7thcalvary littlebighorn americanindianwars appomattoxcampaign unitedstatesarmy westpoint newrumleyohio westpointcemetery georgecuster gacuster generalcuster usarmy,https://live.staticflickr.com/2490/4190935100_312f6d5466_m.jpg,7,U.S. National Archives
4190894338,"Brevet Brigadier General John E. Mulford, Colonel of 3rd New York Infantry, with His Wife and Mr. and Mrs. William Allen. This Picture was Taken on the Porch of Mr. Allen's House at Richmond, Virginia.",-77.433647,37.540699,1863-01-01 00:00:00,1260987560,civilwar mathewbrady usnationalarchives nara:arcid=525960,https://live.staticflickr.com/2716/4190894338_0d5bbf54eb_m.jpg,7,U.S. National Archives
4190133079,"Brevet Brigadier General John E. Mulford, Colonel of 3rd New York Infantry, with His Wife and Mr. and Mrs. William Allen. This Picture was Taken on the Porch of Mr. Allen's House at Richmond, Virginia.",-77.433647,37.540699,1863-01-01 00:00:00,1260987536,civilwar mathewbrady usnationalarchives nara:arcid=525961,https://live.staticflickr.com/2541/4190133079_798d29539b_m.jpg,7,U.S. National Archives
4190115931,General George A. Custer,-107.431644,45.570455,1863-01-01 00:00:00,1260986998,civilwar bullrun cavalry westpoint littlebighorn custer 1876 custerslaststand americancivilwar mathewbrady unionarmy georgearmstrongcuster battleofthelittlebighorn cadizohio firstbattleofbullrun 7thcavalryregiment generalgeorgeacuster usnationalarchives americanindianwars nara:arcid=526002 appomattoxcampaign newrumleyohio us7thcavalryregiment lieutenantcolonelcuster,https://live.staticflickr.com/4048/4190115931_eca338f658_m.jpg,7,U.S. National Archives
4189609872,"Red Cross workers packing Christmas presents for the Fighting Forces during World War II, 1942",153.013458,-27.463194,1942-10-26 14:57:12,1260939432,christmas statelibraryofqueensland worldwarii redcross wwii christmaspackages 1940s 1942 apron carepackage slq queensland christmasacrossthecommons warwork,https://live.staticflickr.com/2708/4189609872_7485a61a10_m.jpg,7,"State Library of Queensland, Australia"
4189001102,Southminster United Church Men's Club Tea,-112.831606,49.695195,2009-12-15 16:36:02,1260920162,galt galtmuseum coffee tea archives gender drag dressup church men viceversa,https://live.staticflickr.com/4043/4189001102_71689ac716_m.jpg,7,Galt Museum & Archives on The Commons
4189001048,Dutch Immigrants,-112.836027,49.698554,2009-12-15 16:35:59,1260920159,family holland netherlands coffee dutch station train mugs tea drink cigarette archives tray immigrants lethbridge hairnet 1953 galt galtmuseum,https://live.staticflickr.com/2674/4189001048_ff3f283a54_m.jpg,7,Galt Museum & Archives on The Commons
4187859550,"Rune stone, Jursta, Södermanland, Sweden",17.951649,59.004351,1900-01-01 00:00:00,1260887728,runestone runsten riksantikvarieämbetet theswedishnationalheritageboard erikbrate sö250,https://live.staticflickr.com/2766/4187859550_acf622d94d_m.jpg,7,Swedish National Heritage Board
4182471908,"Soldiers celebrating Hanukah at Little White House, Camp Gordon, GA, circa 1917",-82.112503,33.404719,2009-12-13 14:07:00,1260731642,holidays chanukah hanukah worldwari greatwar hanukkah jewishsoldiers ritesandcustoms militarychaplains,https://live.staticflickr.com/2769/4182471908_d0e17cc21e_m.jpg,7,"Center for Jewish History, NYC"
4181709439,"Soldiers celebrating Hanukah at Little White House, Camp Gordon, GA, circa 1917",-82.112503,33.404719,2009-12-13 13:58:36,1260731639,holidays chanukah hanukah worldwari jewish jews greatwar hanukkah religiousservice jewishsoldiers americanjewishhistoricalsociety ritesandcustoms militarychaplains,https://live.staticflickr.com/4012/4181709439_68feebbba8_m.jpg,7,"Center for Jewish History, NYC"
4182471668,"Chaplain Dicker hands out Hanukah gifts to soldiers in Austria, 1951",13.007812,47.279229,2009-12-13 13:56:19,1260731637,holidays chanukah hanukah jewish jews hanukkah jewishsoldiers jewishwelfareboard americanjewishhistoricalsociety ritesandcustoms militarychaplains,https://live.staticflickr.com/2789/4182471668_53f1881247_m.jpg,7,"Center for Jewish History, NYC"
4177454210,"Ruins of Henry House, First Battle of Bull Run",-77.517900,38.816204,1863-01-01 00:00:00,1260563579,civilwar mathewbrady usnationalarchives nara:arcid=525780,https://live.staticflickr.com/4008/4177454210_4c7c52120d_m.jpg,7,U.S. National Archives
4177068568,Florida Cinderella,-82.539627,27.338880,1963-01-01 00:00:00,1260551429,blackandwhite video surf florida sarasota bathingsuit 1960 beautypageants pageants lidobeach statelibraryandarchivesofflorida,https://live.staticflickr.com/2635/4177068568_8d19b0df7d_m.jpg,7,State Library and Archives of Florida
4176998970,Miami-Dade Junior College student pilot training in a DC-3 at the school of aviation,-80.237419,25.728979,1970-01-01 00:00:00,1260549366,airplane florida aircraft aviation dac douglas dc3 dakota airliner airliners c47 gooneybird mdc flighttraining douglasdc3 miamidadecollege douglasdakota douglasc47skytrain douglasaircraft pilottraining douglasc47dakota douglasaircraftcompany statelibraryandarchivesofflorida miamidadejuniorcollege,https://live.staticflickr.com/2720/4176998970_64e6f9d6e3_m.jpg,7,State Library and Archives of Florida
